"","site","lat","long","start_date","end_date","benzene","benzene_flag","toluene","toluene_flag","etbenz","etbenz_flag","xylenes","xylenes_flag","btex","btex_flag","mpxylene","mpxylene_flag","oxylene","oxylene_flag","trichlorofluoromethane","tcfm_flag","hexane","hexane_flag","hexane2methyl","hexane2methyl_flag","heptane","heptane_flag","heptane3methyl","heptane3methyl_flag","octane","octane_flag","tce","tce_flag","nonane","nonane_flag","propylbenzene","propylbenzene_flag","benz1ethyl3methyl","benz1ethyl3methyl_flag","benz1ethyl4methyl","benz1ethyl4methyl_flag","decane","decane_flag","mesitylene","mesitylene_flag","benz1ethyl2methyl","benz1ethyl2methyl_flag","benz12chloro","benz12chloro_flag","undecane","undecane_flag","dodecane","dodecane_flag","site_type"
"1","Bartram’s Garden",39.92896,-75.212541,2023-06-07 14:25:00,2023-06-14 13:28:00,0.24,"REG",0.235,"REG",0.05,"REG",0.298,"REG",0.823,"REG",0.23,"REG",0.068,"REG",0.049,"REG",0.085,"REG",0.052,"REG",0.04,"REG",0.047,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.012,"LOD",0.011,"ND",0.026,"LOD",0.01,"LOD",0.033,"REG",0.014,"LOD",0.011,"LOD",0.013,"LOD",0.005,"LOD","stationary"
"2","61st & Passyunk",39.9182045,-75.208547,2023-06-07 14:18:00,2023-06-14 14:04:00,0.338,"REG",0.72,"REG",0.169,"REG",1.205,"REG",2.432,"REG",0.938,"REG",0.267,"REG",0.044,"REG",0.29,"REG",0.197,"REG",0.187,"REG",0.164,"REG",0.026,"REG",0.009,"REG",0.01,"ND",0.054,"LOD",0.011,"ND",0.112,"REG",0.039,"REG",0.116,"REG",0.041,"REG",0.006,"LOD",0.046,"LOD",0.021,"LOD","stationary"
"3","28th & Passyunk",39.9206109,-75.195588,2023-06-07 14:13:00,2023-06-14 14:15:00,0.27,"REG",0.237,"REG",0.055,"REG",0.388,"REG",0.95,"REG",0.299,"REG",0.089,"REG",0.044,"REG",0.117,"REG",0.084,"REG",0.059,"REG",0.105,"REG",0.006,"ND",0.009,"REG",0.01,"ND",0.018,"LOD",0.011,"ND",0.037,"REG",0.015,"LOD",0.05,"REG",0.017,"LOD",0.006,"LOD",0.026,"LOD",0.011,"LOD","stationary"
"4","28th & Point Breeze",39.9262478,-75.192317,2023-06-07 14:01:00,2023-06-14 14:31:00,0.281,"REG",0.308,"REG",0.074,"REG",0.524,"REG",1.187,"REG",0.404,"REG",0.12,"REG",0.044,"REG",0.137,"REG",0.084,"REG",0.059,"REG",0.07,"LOD",0.006,"ND",0.163,"REG",0.01,"ND",0.024,"LOD",0.011,"ND",0.056,"REG",0.029,"REG",0.058,"REG",0.02,"LOD",0.011,"LOD",0.04,"LOD",0.048,"REG","stationary"
"5","25th & Point Breeze",39.9277176,-75.187397,2023-06-07 13:38:00,2023-06-14 14:41:00,0.256,"REG",0.324,"REG",0.069,"REG",0.46,"REG",1.109,"REG",0.361,"REG",0.099,"REG",0.043,"REG",0.097,"REG",0.084,"REG",0.059,"REG",0.058,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.018,"LOD",0.038,"LOD",0.015,"LOD",0.014,"LOD",0.033,"REG",0.014,"LOD",0.011,"LOD",0.02,"LOD",0.016,"LOD","stationary"
"6","Morris & Point Breeze",39.9309466,-75.182994,2023-06-07 13:53:00,2023-06-14 14:52:00,0.293,"REG",0.358,"REG",0.084,"REG",0.543,"REG",1.278,"REG",0.424,"REG",0.119,"REG",0.043,"REG",0.13,"REG",0.071,"REG",0.065,"REG",0.07,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.024,"LOD",0.011,"ND",0.048,"REG",0.034,"REG",0.058,"REG",0.02,"LOD",0.038,"REG",0.046,"LOD",0.043,"REG","stationary"
"7","24th & Ritner",39.9229639,-75.186874,2023-06-07 13:44:00,2023-06-14 15:01:00,0.28,"REG",0.303,"REG",0.069,"REG",0.458,"REG",1.11,"REG",0.36,"REG",0.098,"REG",0.025,"REG",0.103,"REG",0.071,"REG",0.059,"REG",0.069,"LOD",0.006,"ND",0.013,"REG",0.01,"ND",0.024,"LOD",0.045,"REG",0.019,"LOD",0.01,"LOD",0.049,"REG",0.017,"LOD",0.011,"LOD",0.02,"LOD",0.016,"LOD","stationary"
"8","26th & Hartranft",39.9132713,-75.192201,2023-06-07 13:21:00,2023-06-14 15:16:00,0.303,"REG",0.322,"REG",0.113,"REG",0.726,"REG",1.464,"REG",0.576,"REG",0.15,"REG",0.043,"REG",0.293,"REG",0.397,"REG",0.286,"REG",0.681,"REG",0.087,"REG",0.009,"REG",0.01,"ND",0.137,"REG",0.1,"REG",0.044,"REG",0.225,"REG",0.131,"REG",0.051,"REG",0.006,"ND",0.405,"REG",0.329,"REG","stationary"
"9","Bartram’s Garden",39.92896,-75.212541,2023-06-28 13:04:00,2023-07-05 11:35:00,0.291,"REG",0.267,"REG",0.06,"REG",0.363,"REG",0.981,"REG",0.279,"REG",0.084,"REG",0.048,"REG",0.11,"REG",0.06,"REG",0.07,"REG",0.057,"LOD",0.006,"ND",0.009,"REG",0.01,"ND",0.018,"LOD",0.011,"ND",0.03,"REG",0.021,"LOD",0.092,"REG",0.014,"LOD",0.017,"LOD",0.026,"ND",0.024,"LOD","stationary"
"10","Essington & Mingo",39.9013173,-75.225026,2023-06-28 13:34:00,2023-07-05 12:32:00,0.334,"REG",0.742,"REG",0.162,"REG",1.143,"REG",2.381,"REG",0.888,"REG",0.255,"REG",0.055,"REG",0.19,"REG",0.12,"REG",0.134,"REG",0.092,"REG",0.042,"REG",0.009,"REG",0.008,"REG",0.036,"REG",0.084,"REG",0.028,"REG",0.03,"REG",0.071,"REG",0.029,"REG",0.006,"LOD",0.059,"REG",0.024,"REG","stationary"
